date,code,open,high,low,close,volume
2022-02-07,sh.600600,85.0028851400,87.3536590000,83.1277542400,83.8229247200,4443387
2022-02-08,sh.600600,83.8229247200,83.9235415000,80.8227152800,81.9386468400,4780381
2022-02-09,sh.600600,81.5910616000,84.9205623200,81.5270327400,83.4844864600,6054319
2022-02-10,sh.600600,83.4204576000,83.4204576000,80.6855105800,81.8654710000,7107572
2022-02-11,sh.600600,81.4081220000,83.8595126400,81.2068884400,82.3319669800,4201012
2022-02-14,sh.600600,82.4051428200,86.9969267800,82.3319669800,86.7956932200,8656740
2022-02-15,sh.600600,86.2560214000,88.6799711000,86.2377274400,87.4725697400,4885716
2022-02-16,sh.600600,87.4725697400,89.1739080200,86.6584885200,88.3689737800,3980971
2022-02-17,sh.600600,89.1830550000,89.1830550000,87.1341314800,88.1677402200,3195923
2022-02-18,sh.600600,87.7012442400,89.2013489600,86.5304308000,88.0854174000,2974703
2022-02-21,sh.600600,88.7348529800,88.9086456000,86.4846959000,87.0975435600,2366397
2022-02-22,sh.600600,86.8963100000,87.2896301400,85.4876750800,86.8963100000,2323801
2022-02-23,sh.600600,86.5761657000,87.3536590000,84.7925046000,86.5304308000,2701178
2022-02-24,sh.600600,86.0639348200,86.7956932200,84.2070978800,85.2498536000,3518247
2022-02-25,sh.600600,85.1766777600,85.8718482400,84.6461529200,85.6065858200,2796925
2022-02-28,sh.600600,84.8016515800,85.9541710600,84.6735938600,85.7895254200,3183472
2022-03-01,sh.600600,88.6891180800,94.3693926600,88.3598268000,92.9150228400,13020752
2022-03-02,sh.600600,92.0003248400,92.5674376000,89.4666113800,91.0033040200,7454001
2022-03-03,sh.600600,91.0124510000,92.5582906200,89.6495509800,90.8203644200,5581765
2022-03-04,sh.600600,89.7593147400,91.3691832200,89.0458503000,89.6586979600,5040463
2022-03-07,sh.600600,88.4970315000,88.4970315000,83.1551951800,83.5119274000,8831387
2022-03-08,sh.600600,83.5119274000,85.5242630000,81.9477938200,82.7893159800,5853497
2022-03-09,sh.600600,82.8441978600,83.4204576000,77.5663904000,81.2617703200,7861668
2022-03-10,sh.600600,82.7801690000,86.7865462400,81.6459434800,86.2560214000,9616479
2022-03-11,sh.600600,84.8839744000,86.2102865000,82.7344341000,85.0303260800,5056915
2022-03-14,sh.600600,82.3228200000,83.2375180000,78.5268233000,78.6640280000,9302784
2022-03-15,sh.600600,77.7493300000,77.7493300000,74.0905380000,75.3619682200,7064458
2022-03-16,sh.600600,77.1090414000,79.5787260000,75.6455246000,79.0482011600,6634004
2022-03-17,sh.600600,80.3287783600,81.0330958200,77.8682407400,79.3226105600,6599339
2022-03-18,sh.600600,78.7280568600,79.2860226400,77.5663904000,78.5634112200,6465835
2022-03-21,sh.600600,77.9780045000,78.8561145800,76.9992776400,78.6640280000,5157753
2022-03-22,sh.600600,77.8133588600,78.2981488000,76.3772830000,76.8803669000,5900370
2022-03-23,sh.600600,76.9443957600,77.7584769800,75.7461413800,77.3102749600,5318806
2022-03-24,sh.600600,76.7431622000,76.7431622000,74.8314433800,75.3162333200,6546471
2022-03-25,sh.600600,75.0875588200,75.1881756000,72.5995802600,73.2581628200,7554880
2022-03-28,sh.600600,72.0782024000,72.5629923400,69.8829272000,71.3464440000,7948183
2022-03-29,sh.600600,71.6665883000,72.4715225400,69.5627829000,69.8829272000,7773330
2022-03-30,sh.600600,70.2488064000,73.5051312800,70.1573366000,72.7916668400,11586682
2022-03-31,sh.600600,72.1971131400,72.9014306000,71.5293836000,72.2702889800,5105145
2022-04-01,sh.600600,71.6848822600,75.3711152000,71.4013258800,74.7308266000,10047416
2022-04-06,sh.600600,73.9990682000,73.9990682000,72.3800527400,72.9288715400,8409432
2022-04-07,sh.600600,73.1849869800,74.0448031000,71.6208534000,71.9958795800,5755933
2022-04-08,sh.600600,71.5842654800,72.3526118000,70.6695674800,71.1635044000,4663127
2022-04-11,sh.600600,70.6970084200,70.7153023800,66.7729540000,67.3766546800,9949659
2022-04-12,sh.600600,67.3217728000,74.1179789400,66.9650405800,73.7978346400,13222272
2022-04-13,sh.600600,72.5355514000,76.5419286400,71.1177695000,74.8040024400,16052089
2022-04-14,sh.600600,75.2796454000,78.9933192800,75.2796454000,77.6853011400,12364439
2022-04-15,sh.600600,76.3681360200,78.9384374000,75.9290809800,76.8986608600,8190196
2022-04-18,sh.600600,76.1943434000,77.4932145600,75.0052360000,77.2370991200,5441438
2022-04-19,sh.600600,77.3285689200,78.6182931000,76.6608393800,77.3377159000,4574458
2022-04-20,sh.600600,76.8346320000,80.4934240000,75.4625850000,78.4627944400,8441202
2022-04-21,sh.600600,77.8042118800,78.5725582000,75.9016400400,76.8163380400,6010566
2022-04-22,sh.600600,76.1760494400,77.7035951000,75.0967058000,77.4566266400,4833658
2022-04-25,sh.600600,75.7369944000,77.0724534800,73.1666930200,74.4564172000,8335393
2022-04-26,sh.600600,74.6485037800,77.2005112000,74.5661809600,75.5266138600,7715483
2022-04-27,sh.600600,75.0052360000,76.9261018000,73.8618635000,76.5510756200,7086534
