date,code,open,high,low,close,volume
2022-02-07,sh.603259,100.8161875000,102.4948942500,97.5713130000,98.0027125000,17891129
2022-02-08,sh.603259,89.0933750000,89.0933750000,88.2024412500,88.2118195000,41741810
2022-02-09,sh.603259,87.2177250000,88.0430110000,83.9353375000,86.9645122500,58723395
2022-02-10,sh.603259,85.6328007500,85.9797960000,79.7151250000,80.5216545000,80820052
2022-02-11,sh.603259,78.8710825000,80.8874062500,76.7328415000,77.9051227500,61654897
2022-02-14,sh.603259,77.2767800000,81.2719145000,77.2767800000,79.9964725000,51068153
2022-02-15,sh.603259,80.0058507500,87.9961197500,79.7713945000,87.9961197500,61659254
2022-02-16,sh.603259,90.1249825000,93.7825000000,90.0312000000,91.6536372500,59523887
2022-02-17,sh.603259,91.2785072500,92.9665922500,89.8623915000,92.2819800000,30201181
2022-02-18,sh.603259,92.0662802500,92.6571100000,89.5622875000,92.1413062500,21370349
2022-02-21,sh.603259,94.9078900000,95.7613107500,90.5657602500,92.0944150000,20408652
2022-02-22,sh.603259,90.9690250000,92.1413062500,89.2152922500,90.7814600000,19925664
2022-02-23,sh.603259,90.8471077500,94.3639515000,90.5001125000,93.4636395000,20501785
2022-02-24,sh.603259,92.8446750000,96.5959750000,90.9690250000,92.5633275000,29269225
2022-02-25,sh.603259,94.4108427500,99.5970150000,94.4108427500,96.9711050000,35331785
2022-02-28,sh.603259,97.0648875000,98.7998637500,96.0707930000,97.4681522500,18460031
2022-03-01,sh.603259,98.1527645000,100.2816272500,96.5021925000,99.1749937500,18779656
2022-03-02,sh.603259,98.4716250000,98.8279985000,96.1270625000,97.2712090000,18034013
2022-03-03,sh.603259,98.4716250000,98.4810032500,94.7672162500,96.3990317500,14154843
2022-03-04,sh.603259,94.2983037500,96.7272705000,93.2291832500,95.5737457500,18374954
2022-03-07,sh.603259,94.4014645000,94.6171642500,91.3535332500,92.9384575000,20440349
2022-03-08,sh.603259,93.5386655000,96.5865967500,91.5129635000,92.0756585000,21135287
2022-03-09,sh.603259,92.0006325000,92.7977837500,83.0912950000,87.9679850000,40698495
2022-03-10,sh.603259,93.5949350000,96.7647835000,93.2198050000,96.2489797500,36434288
2022-03-11,sh.603259,93.7074740000,94.7203250000,89.4778832500,92.5727057500,35493540
2022-03-14,sh.603259,91.6255025000,94.2514125000,89.8436350000,90.6220297500,23854095
2022-03-15,sh.603259,87.2177250000,92.0569020000,85.3514532500,87.3771552500,31989210
2022-03-16,sh.603259,89.1121315000,96.0332800000,88.2587107500,95.2548852500,40315476
2022-03-17,sh.603259,99.4000717500,102.4104900000,97.5338000000,100.2628707500,45039883
2022-03-18,sh.603259,99.7658235000,99.7658235000,96.8867007500,97.1774265000,29234823
2022-03-21,sh.603259,99.7189322500,100.5348400000,96.7178922500,99.1281025000,20552098
2022-03-22,sh.603259,98.3778425000,99.1187242500,95.7425542500,96.5209490000,17682656
2022-03-23,sh.603259,97.7213650000,104.2298705000,96.9617267500,103.5171235000,30573479
2022-03-24,sh.603259,102.0634947500,112.5108652500,99.5313672500,109.7255250000,49375524
2022-03-25,sh.603259,108.7877000000,110.6633500000,102.5511637500,103.0294545000,37596957
2022-03-28,sh.603259,102.6543245000,105.9085772500,102.0822512500,104.4455702500,25410793
2022-03-29,sh.603259,104.4268137500,106.4243810000,103.1607500000,104.8207002500,16222471
2022-03-30,sh.603259,105.0364000000,107.2215322500,103.7140667500,106.3962462500,19215343
2022-03-31,sh.603259,106.3868680000,106.7244850000,102.9731850000,105.3927735000,19035298
2022-04-01,sh.603259,103.2076412500,104.0516837500,100.7130267500,102.2885727500,19721377
2022-04-06,sh.603259,105.0364000000,105.7116340000,100.1315752500,101.3695042500,18235791
2022-04-07,sh.603259,99.8783625000,102.5042725000,99.2312632500,100.1690882500,14332075
2022-04-08,sh.603259,100.2347360000,101.7821472500,97.3462350000,98.4716250000,17289697
2022-04-11,sh.603259,98.0777385000,99.9064972500,96.5959750000,97.3274785000,23309356
2022-04-12,sh.603259,97.3462350000,100.2910055000,96.2771145000,99.7939582500,26265349
2022-04-13,sh.603259,98.6591900000,98.6591900000,93.6043132500,95.4518285000,23320252
2022-04-14,sh.603259,96.4834360000,100.5348400000,95.4705850000,99.7189322500,18532972
2022-04-15,sh.603259,98.4716250000,104.4361920000,97.5338000000,102.3260857500,18039212
2022-04-18,sh.603259,101.0975350000,102.4011117500,99.9721450000,100.4410575000,9662288
2022-04-19,sh.603259,100.3472750000,101.2757217500,95.6675282500,96.3802752500,15120295
2022-04-20,sh.603259,96.3802752500,98.1902775000,93.2666962500,94.5984077500,16525193
2022-04-21,sh.603259,93.6699610000,95.1892375000,89.8905262500,90.6126515000,25444047
2022-04-22,sh.603259,90.5001125000,95.8832280000,89.7310960000,95.2830200000,22879869
2022-04-25,sh.603259,93.7825000000,96.1270625000,91.7192850000,91.7849327500,18798272
2022-04-26,sh.603259,92.3757625000,98.8092420000,92.3757625000,96.0801712500,26308179
2022-04-27,sh.603259,95.6581500000,98.3590860000,93.7825000000,97.5806912500,20192379
2022-04-28,sh.603259,97.6838520000,97.9839560000,95.1704810000,96.8585660000,13008617
2022-04-29,sh.603259,96.1176842500,97.8995517500,93.9137955000,96.8116747500,19750798
2022-05-05,sh.603259,96.6991357500,97.2524525000,90.8752425000,91.9537412500,31040602
2022-05-06,sh.603259,90.0780912500,91.3253985000,88.2024412500,88.5306800000,19119570
2022-05-09,sh.603259,88.2024412500,89.5622875000,87.4240465000,87.8085547500,10944824
2022-05-10,sh.603259,86.2423870000,92.5164362500,85.5108835000,91.4191810000,20903623
2022-05-11,sh.603259,91.3441550000,96.5021925000,90.1343607500,94.3920862500,24960839
2022-05-12,sh.603259,93.7731217500,95.5643675000,92.8540532500,94.9829160000,11719545
2022-05-13,sh.603259,96.0426582500,96.9711050000,93.9981997500,94.6171642500,8991246
2022-05-16,sh.603259,93.8293912500,95.6581500000,92.1037932500,92.6664882500,12427981
2022-05-17,sh.603259,92.6008405000,93.3323440000,90.9690250000,93.1916702500,13144518
2022-05-18,sh.603259,93.5949350000,93.6605827500,87.4334247500,90.3313040000,26942441
2022-05-19,sh.603259,88.5119235000,90.4063300000,88.3900062500,89.9467957500,12864641
2022-05-20,sh.603259,90.6782992500,93.7731217500,90.2937910000,92.3945190000,18722031
2022-05-23,sh.603259,92.9384575000,93.1822920000,91.0628075000,91.4473157500,11287742
2022-05-24,sh.603259,91.4566940000,91.4566940000,85.9047700000,86.5143562500,29853272
2022-05-25,sh.603259,86.3643042500,87.2083467500,84.9669450000,85.6515572500,18287878
2022-05-26,sh.603259,86.6925430000,86.6925430000,81.7126922500,82.6223825000,32921377
2022-05-27,sh.603259,84.4980325000,90.0312000000,84.4042500000,86.7300560000,47462707
2022-05-30,sh.603259,86.7488125000,87.9679850000,84.6387062500,87.0301600000,22202622
2022-05-31,sh.603259,87.1239425000,90.4625995000,85.1826447500,89.3841007500,33035270
2022-06-01,sh.603259,89.0933750000,90.0687130000,87.1708337500,87.6397462500,24693439
2022-06-02,sh.603259,86.6644082500,87.0770512500,84.2917110000,85.0044580000,35818189
