date,code,open,high,low,close,volume
2020-05-12,sh.600600,49.7953954300,51.0913536700,49.1564160200,50.3353780300,6516078
2020-05-13,sh.600600,50.3263783200,53.9712608700,49.9933890500,53.5122756600,10129365
2020-05-14,sh.600600,53.2782832000,56.1311912700,52.6033049500,54.2862507200,13773045
2020-05-15,sh.600600,54.8892312900,55.3482165000,54.0162594200,54.6102402800,5904217
2020-05-18,sh.600600,54.2682513000,55.5012115700,53.6382716000,55.1232237500,5442372
2020-05-19,sh.600600,54.8982310000,54.9792283900,52.6573032100,54.6282397000,8074509
2020-05-20,sh.600600,53.9982600000,55.1682223000,53.2782832000,54.7272365100,6411724
2020-05-21,sh.600600,54.7182368000,55.0602257800,53.4672771100,53.8902634800,7775540
2020-05-22,sh.600600,54.3222495600,54.3222495600,52.3783122000,52.7203011800,7607673
2020-05-25,sh.600600,52.8102982800,54.2682513000,50.9023597600,53.6202721800,7043245
2020-05-26,sh.600600,54.1512550700,55.7712028700,54.1512550700,54.9432295500,6039971
2020-05-27,sh.600600,54.9432295500,56.9411651700,54.5652417300,54.9432295500,5195202
2020-05-28,sh.600600,54.7362362200,55.8971988100,54.1602547800,55.7082049000,4752861
2020-05-29,sh.600600,55.7082049000,57.3101532800,55.1502228800,56.9591645900,5011419
2020-06-01,sh.600600,57.1481585000,58.4981150000,56.5991761900,57.9221335600,7531539
2020-06-02,sh.600600,57.6881411000,57.6881411000,55.0782252000,55.5822089600,9191940
2020-06-03,sh.600600,56.0591935900,57.1481585000,54.6912376700,56.9681643000,6558092
2020-06-04,sh.600600,57.1751576300,60.5680483000,57.1751576300,60.5680483000,12506294
2020-06-05,sh.600600,60.6580454000,60.6580454000,57.2201561800,58.9840993400,13608013
2020-06-08,sh.600600,58.4711158700,58.6241109400,56.7251721300,58.0391297900,7802160
2020-06-09,sh.600600,58.0391297900,58.3631193500,57.5801445800,58.0031309500,4345758
2020-06-10,sh.600600,57.8141370400,58.7231077500,57.6881411000,58.4891152900,4565383
2020-06-11,sh.600600,58.4441167400,58.4711158700,56.2571872100,56.4731802500,7755030
2020-06-12,sh.600600,55.0782252000,58.5521132600,54.8892312900,57.9131338500,6846300
2020-06-15,sh.600600,57.9131338500,59.3980860000,57.3551518300,57.3731512500,6480173
2020-06-16,sh.600600,58.2641225400,58.9481005000,57.5081469000,58.3001213800,5397702
2020-06-17,sh.600600,58.2821219600,58.4531164500,57.5081469000,58.0481295000,3782767
2020-06-18,sh.600600,57.7241399400,60.5680483000,57.5081469000,59.3800865800,5950327
2020-06-19,sh.600600,59.6770770100,63.6009505700,59.6770770100,63.2679613000,8049663
2020-06-22,sh.600600,63.1779642000,63.2679613000,61.3780222000,61.9810027700,8362365
2020-06-23,sh.600600,62.0260013200,66.2018667600,61.8190079900,65.4278917000,9360161
2020-06-24,sh.600600,65.4006517200,65.7452475000,62.8252516800,65.4731982000,8907205
2020-06-29,sh.600600,63.9315855000,66.6520785000,63.1154376000,65.2374221400,5811889
2020-06-30,sh.600600,65.2374221400,71.5126926600,65.2374221400,69.3725715000,8488427
2020-07-01,sh.600600,68.9282243100,74.3148004500,68.1936912000,72.8729391600,8351078
2020-07-02,sh.600600,72.5464800000,73.6165405800,70.7328180000,71.4764194200,8517580
2020-07-03,sh.600600,70.6239982800,71.3494630800,67.7402757000,71.2225067400,8556856
2020-07-06,sh.600600,70.7056130700,70.7962961700,68.9826341700,70.0617630600,10825778
2020-07-07,sh.600600,70.0708313700,72.7459828200,68.4748088100,72.2109525300,10260580
2020-07-08,sh.600600,71.4582828000,71.6849905500,69.8259870000,71.0864820900,7940175
2020-07-09,sh.600600,70.7328180000,71.0230039200,69.8350553100,70.7328180000,9024466
