date,code,open,high,low,close,volume
2021-02-01,sh.600600,80.9165301300,85.7862126000,80.9165301300,85.7045978100,8648686
2021-02-02,sh.600600,86.0401252800,88.2799978500,84.7886985000,87.8719239000,6947293
2021-02-03,sh.600600,87.4185084000,90.4201190100,87.1555274100,87.9626070000,6349398
2021-02-04,sh.600600,86.6930436000,89.2231020900,84.9519280800,86.1761499300,7478619
2021-02-05,sh.600600,86.4481992300,90.5017338000,84.5166492000,88.6336619400,9840068
2021-02-08,sh.600600,88.5973887000,89.0961457500,84.0541653900,85.4053435800,11509785
2021-02-09,sh.600600,84.3352830000,89.2503070200,83.7458428500,88.0170168600,7683823
2021-02-10,sh.600600,88.2618612300,88.7424816600,86.1308083800,86.8562731800,10214324
2021-02-18,sh.600600,87.7631041800,87.7631041800,82.7936703000,83.3649738300,9324369
2021-02-19,sh.600600,83.4465886200,84.2264632800,79.8555378600,82.5216210000,8199051
2021-02-22,sh.600600,82.6123041000,82.7029872000,79.9008794100,80.8893252000,9806420
2021-02-23,sh.600600,79.8011280000,80.0550406800,77.4161624700,79.0756632000,10842772
2021-02-24,sh.600600,79.4383956000,79.6832399700,74.4508251000,76.4277166800,13900698
2021-02-25,sh.600600,76.0831209000,76.9355420400,74.1606391800,74.2513222800,9094710
2021-02-26,sh.600600,73.2538081800,73.2538081800,70.1887194000,72.2109525300,10286125
2021-03-01,sh.600600,72.5283433800,72.8185293000,70.5514518000,71.8119468900,10770510
2021-03-02,sh.600600,72.5374116900,73.8160434000,70.4607687000,70.7962961700,11546444
2021-03-03,sh.600600,70.6965447600,71.5036243500,69.9166701000,71.3675997000,9760110
2021-03-04,sh.600600,70.7328180000,70.7328180000,68.4476038800,68.8919510700,9596383
2021-03-05,sh.600600,67.7856172500,70.5151785600,66.1986630000,69.7353039000,7025857
2021-03-08,sh.600600,71.1680968800,72.6915729600,68.9191560000,69.0461123400,12870801
2021-03-09,sh.600600,69.1005222000,70.0798996800,65.7089742600,68.0304616200,9383538
2021-03-10,sh.600600,70.2884708100,70.3700856000,67.1417672400,67.7856172500,7892723
2021-03-11,sh.600600,67.5317045700,71.6215123800,66.6520785000,71.1499602600,10092273
2021-03-12,sh.600600,71.2769166000,71.5489659000,68.0123250000,69.8259870000,6671168
2021-03-15,sh.600600,69.5176644600,69.5902109400,66.4525756800,67.2143137200,7361922
2021-03-16,sh.600600,67.4047482300,68.6380383900,66.8153080800,68.1574179600,6363072
2021-03-17,sh.600600,68.1030081000,71.1590285700,67.1961771000,70.9141842000,9058324
2021-03-18,sh.600600,70.6239982800,74.3601420000,70.3700856000,73.2266032500,10598569
2021-03-19,sh.600600,71.8119468900,74.1787758000,71.6759222400,72.2925673200,5902755
2021-03-22,sh.600600,72.2562940800,73.4533110000,70.5151785600,71.4673511100,5127130
2021-03-23,sh.600600,71.2406433600,73.2538081800,70.4335637700,72.3651138000,6207585
2021-03-24,sh.600600,72.0930645000,73.5258574800,71.1590285700,71.5943074500,6768964
2021-03-25,sh.600600,70.6874764500,73.2266032500,69.5358010800,72.5011384500,5056748
2021-03-26,sh.600600,72.5464800000,75.1581532800,72.2653623900,73.9067265000,8545686
2021-03-29,sh.600600,74.1787758000,77.5431188100,73.4533110000,75.9924378000,10473265
2021-03-30,sh.600600,75.9017547000,77.6882117700,75.1672215900,75.9924378000,6324783
2021-03-31,sh.600600,75.6297054000,76.8720638700,74.3692103100,76.7541758400,5682311
2021-04-01,sh.600600,76.7541758400,76.9536786600,75.6025004700,76.5637413300,3439557
2021-04-02,sh.600600,76.9899519000,77.6065969800,76.0831209000,76.5637413300,3889543
2021-04-06,sh.600600,76.7632441500,77.1985230300,74.9495821500,76.1284624500,4506130
2021-04-07,sh.600600,76.0196427300,76.5093314700,73.3989011400,74.9405138400,5734920
2021-04-08,sh.600600,74.7319427100,78.4499498100,73.9157948100,77.6882117700,9780548
2021-04-09,sh.600600,77.4887089500,78.8942970000,76.5183997800,77.9874660000,4676363
2021-04-12,sh.600600,77.9874660000,79.8736744800,76.7179026000,77.5431188100,5546550
2021-04-13,sh.600600,77.5431188100,79.8736744800,77.3526843000,78.9033653100,5410945
2021-04-14,sh.600600,79.1119364400,81.6510632400,78.5315646000,80.1275871600,5425876
2021-04-15,sh.600600,79.6741716600,80.3361582900,78.0328075500,78.8489554500,4463399
2021-04-16,sh.600600,78.8580237600,80.1819970200,78.1506955800,79.7104449000,4456205
2021-04-19,sh.600600,79.7013765900,81.6147900000,78.4408815000,79.8827427900,6314188
2021-04-20,sh.600600,78.4408815000,82.3402548000,78.4408815000,81.6147900000,7884051
2021-04-21,sh.600600,81.1613745000,84.6073323000,80.8893252000,84.5891956800,9831265
2021-04-22,sh.600600,84.2445999000,85.5867097800,82.9750365000,85.5141633000,6731174
2021-04-23,sh.600600,87.3278253000,89.2231020900,83.1564027000,83.9725506000,14012239
2021-04-26,sh.600600,84.7886985000,86.6114288100,83.1654710100,83.4284520000,10748963
2021-04-27,sh.600600,81.8596343700,84.4531710300,81.7508146500,84.1720534200,8463843
2021-04-28,sh.600600,84.5075808900,85.2149090700,83.4556569300,84.2536682100,5760554
2021-04-29,sh.600600,84.0178921500,84.9609963900,81.9049759200,83.8909358100,5892357
2021-04-30,sh.600600,83.0475829800,83.3287005900,80.5991392800,82.5306893100,9705977
2021-05-06,sh.600600,81.6147900000,82.8662167800,80.7260956200,82.0228639500,5534145
2021-05-07,sh.600600,80.9800083000,83.9816189100,80.5991392800,82.7029872000,7036518
2021-05-10,sh.600600,82.5216210000,87.5998746000,82.2586400100,84.3262146900,12569041
2021-05-11,sh.600600,84.3262146900,86.9197513500,83.9816189100,85.6048464000,7107713
2021-05-12,sh.600600,85.3509337200,86.5207457100,84.4894442700,85.7862126000,4866950
2021-05-13,sh.600600,85.6955295000,90.1027281600,85.0698161100,90.1027281600,11845353
2021-05-14,sh.600600,90.0845915400,95.0902986600,88.1349048900,92.3970105900,15406511
2021-05-17,sh.600600,92.3970105900,93.8570085000,90.7284415500,92.4060789000,8836345
2021-05-18,sh.600600,92.3879422800,95.6162606400,91.9163901600,93.4035930000,6787749
2021-05-19,sh.600600,91.5899310000,93.4035930000,90.0845915400,90.7647147900,6815939
2021-05-20,sh.600600,90.6831000000,92.5511718600,90.6831000000,91.9617317100,6372541
2021-05-21,sh.600600,91.5808626900,93.3763880700,90.3385042200,92.3244641100,7059331
2021-05-24,sh.600600,92.3879422800,94.7910444300,91.1818570500,94.7910444300,10767494
2021-05-25,sh.600600,93.9295549800,95.7522852900,92.6962648200,95.2172550000,7982134
2021-05-26,sh.600600,94.7729078100,95.6706705000,92.7234697500,94.5462000600,6167196
2021-05-27,sh.600600,94.3104240000,95.0358888000,92.8594944000,94.0383747000,6224423
2021-05-28,sh.600600,94.2469458300,95.7160120500,93.1496803200,95.0993669700,5446252
2021-05-31,sh.600600,95.2172550000,96.3054522000,92.3153958000,95.1628451400,7237184
2021-06-01,sh.600600,95.1265719000,95.1265719000,90.3929140800,92.2791225600,12097527
2021-06-02,sh.600600,92.1340296000,93.2947732800,91.4085648000,92.5330352400,7421106
